Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.0,11,11L,4840.0,-10796.0,-5949.0
0.0,0.0,11,142L,14533.0,-10454.0,-5316.0
0.0,0.0,11,19L,7573.0,-10783.0,-5798.0
0.0,0.0,11,230L,8292.0,-8282.0,-3764.0
0.0,0.0,11,32L,9679.0,-10174.0,-4384.0
0.0,0.0,11,372L,9869.0,-8546.0,-2902.0
0.0,0.0,11,3L,3564.0,-10805.0,-6464.0
0.0,0.0,11,53L,11496.0,-10709.0,-6037.0
0.0,0.0,11,6L,3598.0,-10809.0,-6464.0
0.0,0.0,11,87L,11699.0,-10782.0,-7223.0
0.0,0.0,142,11L,6316.0,-7937.0,-5950.0
0.0,0.0,142,142L,6036.0,-11182.0,-7416.0
0.0,0.0,142,19L,10445.0,-8282.0,-5523.0
0.0,0.0,142,230L,7429.0,-10782.0,-6264.0
0.0,0.0,142,32L,11022.0,-7692.0,-4231.0
0.0,0.0,142,372L,5214.0,-8928.0,-3226.0
0.0,0.0,142,3L,6360.0,-7937.0,-6280.0
0.0,0.0,142,53L,8634.0,-8952.0,-7097.0
0.0,0.0,142,6L,5541.0,-7937.0,-6124.0
0.0,0.0,142,87L,11214.0,-9938.0,-5944.0
0.0,0.0,19,11L,4569.0,-10811.0,-6222.0
0.0,0.0,19,142L,12316.0,-10443.0,-5016.0
0.0,0.0,19,19L,8602.0,-10788.0,-6052.0
0.0,0.0,19,230L,10919.0,-7433.0,-3104.0
0.0,0.0,19,32L,6769.0,-10774.0,-5383.0
0.0,0.0,19,372L,12746.0,-7782.0,0.0
0.0,0.0,19,3L,10227.0,-10805.0,-6464.0
0.0,0.0,19,53L,10811.0,-10314.0,-6837.0
0.0,0.0,19,6L,7229.0,-10809.0,-6464.0
0.0,0.0,19,87L,14508.0,-10338.0,-6344.0
0.0,0.0,230,11L,7904.0,-8309.0,-7647.0
0.0,0.0,230,142L,8777.0,-8682.0,-4916.0
0.0,0.0,230,19L,8739.0,-8311.0,-7498.0
0.0,0.0,230,230L,4934.0,-9502.0,-5751.0
0.0,0.0,230,32L,8766.0,-8309.0,-7231.0
0.0,0.0,230,372L,6319.0,-8346.0,-2702.0
0.0,0.0,230,3L,6450.0,-8310.0,-8065.0
0.0,0.0,230,53L,8839.0,-8312.0,-7097.0
0.0,0.0,230,6L,6069.0,-8308.0,-7938.0
0.0,0.0,230,87L,10836.0,-8682.0,-5123.0
0.0,0.0,32,11L,9431.0,-10411.0,-5822.0
0.0,0.0,32,142L,8145.0,-10865.0,-7089.0
0.0,0.0,32,19L,12123.0,-10588.0,-5852.0
0.0,0.0,32,230L,15459.0,-10782.0,-6264.0
0.0,0.0,32,32L,10184.0,-10168.0,-5293.0
0.0,0.0,32,372L,8742.0,-9904.0,-230.0
0.0,0.0,32,3L,8686.0,-9775.0,-6464.0
0.0,0.0,32,53L,12309.0,-10309.0,-3937.0
0.0,0.0,32,6L,7843.0,-9775.0,-6464.0
0.0,0.0,32,87L,14513.0,-10349.0,-6344.0
0.0,0.0,372,11L,8137.0,-8482.0,-6728.0
0.0,0.0,372,142L,8402.0,-8482.0,-4716.0
0.0,0.0,372,19L,9184.0,-8482.0,-5723.0
0.0,0.0,372,230L,8905.0,-8482.0,-3964.0
0.0,0.0,372,32L,9347.0,-8482.0,-5358.0
0.0,0.0,372,372L,9226.0,-8546.0,-2902.0
0.0,0.0,372,3L,8308.0,-8544.0,-7137.0
0.0,0.0,372,53L,9510.0,-8482.0,-5250.0
0.0,0.0,372,6L,7984.0,-8495.0,-6987.0
0.0,0.0,372,87L,9674.0,-8482.0,-4923.0
0.0,0.0,3,11L,5656.0,-10811.0,-6222.0
0.0,0.0,3,142L,12178.0,-11182.0,-7416.0
0.0,0.0,3,19L,8131.0,-10768.0,-6052.0
0.0,0.0,3,230L,11591.0,-9502.0,-5751.0
0.0,0.0,3,32L,13045.0,-10374.0,-4584.0
0.0,0.0,3,372L,9715.0,-8546.0,-2902.0
0.0,0.0,3,3L,592.0,-875.0,-36.0
0.0,0.0,3,53L,11059.0,-10415.0,-6537.0
0.0,0.0,3,6L,360.0,-1028.0,-242.0
0.0,0.0,3,87L,12090.0,-10882.0,-7323.0
0.0,0.0,53,11L,14682.0,-9638.0,-4680.0
0.0,0.0,53,142L,9029.0,-10882.0,-7116.0
0.0,0.0,53,19L,10417.0,-10412.0,-5063.0
0.0,0.0,53,230L,7487.0,-9168.0,-5744.0
0.0,0.0,53,32L,10771.0,-9638.0,-4241.0
0.0,0.0,53,372L,3359.0,-10577.0,-4624.0
0.0,0.0,53,3L,13361.0,-9638.0,-4939.0
0.0,0.0,53,53L,13406.0,-10014.0,-6537.0
0.0,0.0,53,6L,9403.0,-10209.0,-5864.0
0.0,0.0,53,87L,12173.0,-10038.0,-6044.0
0.0,0.0,6,11L,5566.0,-10811.0,-6222.0
0.0,0.0,6,142L,14099.0,-10220.0,-5984.0
0.0,0.0,6,19L,6397.0,-10788.0,-6052.0
0.0,0.0,6,230L,8122.0,-8682.0,-4164.0
0.0,0.0,6,32L,13857.0,-10068.0,-7430.0
0.0,0.0,6,372L,9792.0,-8546.0,-2902.0
0.0,0.0,6,3L,729.0,-875.0,-36.0
0.0,0.0,6,53L,10805.0,-10215.0,-6437.0
0.0,0.0,6,6L,411.0,-1078.0,-292.0
0.0,0.0,6,87L,12247.0,-10782.0,-7223.0
0.0,0.0,87,11L,10792.0,-9829.0,-4080.0
0.0,0.0,87,142L,10190.0,-9829.0,-6384.0
0.0,0.0,87,19L,8964.0,-9829.0,-4346.0
0.0,0.0,87,230L,5737.0,-9829.0,-5644.0
