date,totalCapital,unrializedPnL,rializedPnL,stocksOwned,stocksPriceToday,stocksPriceBoughtAt,putOwned,putOwnedSoldAt,putPriceToday,putOwnedContract,putOwnedStrike,callOwned,callOwnedSoldAt,callPriceToday,callOwnedContract,callOwnedStrike,trackType
2019-01-02,0,-3.0,0,0,250.18,0,1,0.34,0.37,SPY190104P00244000,244.0,0,0,0,,0,normalDay
2019-01-03,0,-149.0,0,0,244.21,0,1,0.34,1.83,SPY190104P00244000,244.0,0,0,0,,0,normalDay
2019-01-04,34.0,0.0,34.0,0,252.39,0,1,0.34,0.0,SPY190104P00244000,244.0,0,0,0,,0,expirationDay
2019-01-07,34.0,-3.0,0,0,254.38,0,1,0.04,0.07,SPY190109P00243500,243.5,0,0,0,,0,normalDay
2019-01-08,34.0,3.0,0,0,256.77,0,1,0.04,0.01,SPY190109P00243500,243.5,0,0,0,,0,normalDay
2019-01-09,38.0,0.0,4.0,0,257.97,0,1,0.04,0.0,SPY190109P00243500,243.5,0,0,0,,0,expirationDay
2019-01-10,38.0,0.0,0,0,258.88,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-11,38.0,0.0,0,0,258.98,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-14,38.0,0.0,0,0,257.4,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-15,38.0,-3.0,0,0,260.35,0,1,0.01,0.04,SPY190118P00244000,244.0,0,0,0,,0,normalDay
2019-01-16,38.0,0.0,0,0,260.98,0,1,0.01,0.01,SPY190118P00244000,244.0,0,0,0,,0,normalDay
2019-01-17,38.0,0.0,0,0,262.96,0,1,0.01,0.01,SPY190118P00244000,244.0,0,0,0,,0,normalDay
2019-01-18,39.0,0.0,1.0,0,266.46,0,1,0.01,0.0,SPY190118P00244000,244.0,0,0,0,,0,expirationDay
2019-01-22,39.0,0.0,0,0,262.86,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-23,39.0,0.0,0,0,263.41,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-24,39.0,0.0,0,0,263.55,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-25,39.0,0.0,0,0,265.78,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-28,39.0,0.0,0,0,263.76,0,0,0.0,0.0,,0.0,0,0,0,,0,bidTooLow
2019-01-29,39.0,-3.0,0,0,263.41,0,1,0.09,0.12,SPY190201P00252000,252.0,0,0,0,,0,normalDay
2019-01-30,39.0,7.0,0,0,267.58,0,1,0.09,0.02,SPY190201P00252000,252.0,0,0,0,,0,normalDay
