date,totalCapital,unrializedPnL,rializedPnL,stocksOwned,stocksPriceToday,stocksPriceBoughtAt,putOwned,putOwnedSoldAt,putPriceToday,putOwnedContract,putOwnedStrike,callOwned,callOwnedSoldAt,callPriceToday,callOwnedContract,callOwnedStrike,trackType
2018-11-01,0,-4.0,0,0,273.51,0,1,0.39,0.43,SPY181107P00261000,261.0,0,0,0,,0,normalDay
2018-11-02,0,5.0,0,0,271.89,0,1,0.39,0.34,SPY181107P00261000,261.0,0,0,0,,0,normalDay
2018-11-05,0,27.0,0,0,273.39,0,1,0.39,0.12,SPY181107P00261000,261.0,0,0,0,,0,normalDay
2018-11-06,0,33.0,0,0,275.12,0,1,0.39,0.06,SPY181107P00261000,261.0,0,0,0,,0,normalDay
2018-11-07,39.0,0.0,39.0,0,281.01,0,1,0.39,0.0,SPY181107P00261000,261.0,0,0,0,,0,expirationDay
2018-11-08,39.0,-3.0,0,0,280.5,0,1,0.06,0.09,SPY181114P00263000,263.0,0,0,0,,0,normalDay
2018-11-09,39.0,-1.0,0,0,277.76,0,1,0.06,0.07,SPY181114P00263000,263.0,0,0,0,,0,normalDay
2018-11-12,39.0,-13.0,0,0,272.57,0,1,0.06,0.19,SPY181114P00263000,263.0,0,0,0,,0,normalDay
2018-11-13,39.0,2.0,0,0,272.06,0,1,0.06,0.04,SPY181114P00263000,263.0,0,0,0,,0,normalDay
2018-11-14,45.0,0.0,6.0,0,270.2,0,1,0.06,0.0,SPY181114P00263000,263.0,0,0,0,,0,expirationDay
2018-11-15,45.0,-4.0,0,0,273.02,0,1,0.41,0.45,SPY181121P00263000,263.0,0,0,0,,0,normalDay
2018-11-16,45.0,26.0,0,0,273.73,0,1,0.41,0.15,SPY181121P00263000,263.0,0,0,0,,0,normalDay
2018-11-19,45.0,10.0,0,0,269.1,0,1,0.41,0.31,SPY181121P00263000,263.0,0,0,0,,0,normalDay
2018-11-20,45.0,-71.0,0,0,264.12,0,1,0.41,1.12,SPY181121P00263000,263.0,0,0,0,,0,normalDay
2018-11-21,86.0,0.0,41.0,0,265.02,0,1,0.41,0.0,SPY181121P00263000,263.0,0,0,0,,0,expirationDay
2018-11-23,86.0,-6.0,0,0,263.25,0,1,1.92,1.98,SPY181130P00260500,260.5,0,0,0,,0,normalDay
